id;currency;amount;date_created;date_modified
1;Soap Guernsey;41795;2020-05-07;2020-05-07
2;Gabon Polarised Rustic;1714;2020-05-07;2020-05-07
3;harness solid state;51176;2020-05-07;2020-05-07
4;Tools e-services Skyway;31576;2020-05-07;2020-05-07
5;matrix;94279;2020-05-07;2020-05-08
6;PNG tan Incredible;67238;2020-05-07;2020-05-07
7;Wooden;30137;2020-05-07;2020-05-07
8;payment;71713;2020-05-08;2020-05-07
9;system engine Pre-emptive;12291;2020-05-07;2020-05-07
10;Multi-channelled bandwidth;5290;2020-05-07;2020-05-07
