id;manuscript_id;manuscript_title;apc_status;date_created;date_modified;linked_payment_id;manuscript_journal_acronym_id;manuscript_author_name_id
1;Chicken even-keeled foreground;Licensed Steel Chair Credit Card Account Developer;Pending;2020-05-07;2020-05-07;1;1;1
2;Intelligent;Central Money Market Account Dam;Pending;2020-05-07;2020-05-07;2;2;2
3;payment;Engineer CFA Franc BEAC Awesome Fresh Mouse;RefundInitiated;2020-05-07;2020-05-07;3;3;3
4;violet architect Granite;bandwidth lavender;Completed;2020-05-07;2020-05-08;4;4;4
5;SQL Oval;Graphical User Interface bricks-and-clicks Codes specifically reserved for testing purposes;RefundInitiated;2020-05-08;2020-05-07;5;5;5
6;Kentucky Brand;Director Home;Initiated;2020-05-07;2020-05-08;6;6;6
7;contextually-based Lilangeni;matrices;RefundInitiated;2020-05-07;2020-05-07;7;7;7
8;1080p Borders compressing;fuchsia;Pending;2020-05-07;2020-05-07;8;8;8
9;concept orchid networks;Bacon;Completed;2020-05-07;2020-05-07;9;9;9
10;Seychelles Rupee optimize;cross-platform Computer;Completed;2020-05-07;2020-05-07;10;10;10
